Time	CellId	RNTI	BWPId	SINR(dB)
4.24307	1	3	0	12.7088
4.24307	1	4	0	-2.30142
4.24307	1	5	0	3.08193
4.24307	1	6	0	3.94164
4.24407	1	1	0	8.39019
4.24407	1	2	0	12.1452
4.24407	1	3	0	12.7088
4.24407	1	4	0	-2.30142
4.24407	1	5	0	3.08193
4.24407	1	6	0	3.94164
4.24507	1	1	0	8.39019
4.24507	1	2	0	12.1452
4.24507	1	3	0	12.7088
4.24507	1	4	0	-2.30142
4.24507	1	5	0	3.08193
4.24507	1	6	0	3.94164
4.24607	1	1	0	8.39019
4.24607	1	2	0	12.1452
4.24607	1	3	0	12.7088
4.24607	1	4	0	-2.30142
4.24607	1	5	0	3.08193
4.24607	1	6	0	3.94164
4.24707	1	1	0	8.39019
4.24707	1	2	0	12.1452
4.24707	1	3	0	12.7088
4.24707	1	4	0	-2.30142
4.24707	1	5	0	3.08193
4.24707	1	6	0	3.94164
4.24807	1	1	0	8.39019
4.24807	1	2	0	12.1452
4.24807	1	3	0	12.7088
4.24807	1	4	0	-2.30142
4.24807	1	5	0	3.08193
4.24807	1	6	0	3.94164
4.24907	1	1	0	8.39019
4.24907	1	2	0	12.1452
4.24907	1	3	0	12.7088
4.24907	1	4	0	-2.30142
4.24907	1	5	0	3.08193
4.24907	1	6	0	3.94164
4.25007	1	1	0	8.39019
4.25007	1	2	0	12.1452
4.25007	1	3	0	12.7088
4.25007	1	4	0	-2.30142
4.25007	1	5	0	3.08193
4.25007	1	6	0	3.94164
4.25107	1	1	0	8.39019
4.25107	1	2	0	12.1452
4.25107	1	3	0	12.7088
4.25107	1	4	0	-2.30142
4.25107	1	5	0	3.08193
4.25107	1	6	0	3.94164
4.25207	1	1	0	8.39019
4.25207	1	2	0	12.1452
4.25207	1	3	0	12.7088
4.25207	1	4	0	-2.30142
4.25207	1	5	0	3.08193
4.25207	1	6	0	3.94164
4.25307	1	1	0	8.39019
4.25307	1	2	0	12.1452
4.25307	1	3	0	12.7088
4.25307	1	4	0	-2.30142
4.25307	1	5	0	3.08193
4.25307	1	6	0	3.94164
4.25407	1	1	0	8.39019
4.25407	1	2	0	12.1452
4.25407	1	3	0	12.7088
4.25407	1	4	0	-2.30142
4.25407	1	5	0	3.08193
4.25407	1	6	0	3.94164
4.25507	1	1	0	8.39019
4.25507	1	2	0	12.1452
4.25507	1	3	0	12.7088
4.25507	1	4	0	-2.30142
4.25507	1	5	0	3.08193
4.25507	1	6	0	3.94164
4.25607	1	1	0	8.39019
4.25607	1	2	0	12.1452
4.25607	1	3	0	12.7088
4.25607	1	4	0	-2.30142
4.25607	1	5	0	3.08193
4.25607	1	6	0	3.94164
4.25707	1	1	0	8.39019
4.25707	1	2	0	12.1452
4.25707	1	3	0	12.7088
4.25707	1	4	0	-2.30142
4.25707	1	5	0	3.08193
4.25707	1	6	0	3.94164
4.25807	1	1	0	8.39019
4.25807	1	2	0	12.1452
4.25807	1	3	0	12.7088
4.25807	1	4	0	-2.30142
4.25807	1	5	0	3.08193
4.25807	1	6	0	3.94164
4.25907	1	1	0	8.39019
4.25907	1	2	0	12.1452
4.25907	1	3	0	12.7088
4.25907	1	4	0	-2.30142
4.25907	1	5	0	3.08193
4.25907	1	6	0	3.94164
4.26007	1	1	0	8.39019
4.26007	1	2	0	12.1452
4.26007	1	3	0	12.7088
4.26007	1	4	0	-2.30142
4.26007	1	5	0	3.08193
4.26007	1	6	0	3.94164
4.26107	1	1	0	8.39019
4.26107	1	2	0	12.1452
4.26107	1	3	0	12.7088
4.26107	1	4	0	-2.30142
4.26107	1	5	0	3.08193
4.26107	1	6	0	3.94164
4.26207	1	1	0	8.39019
4.26207	1	2	0	12.1452
4.26207	1	3	0	12.7088
4.26207	1	4	0	-2.30142
4.26207	1	5	0	3.08193
4.26207	1	6	0	3.94164
4.26307	1	1	0	8.39019
4.26307	1	2	0	12.1452
4.26307	1	3	0	12.7088
4.26307	1	4	0	-2.30142
4.26307	1	5	0	3.08193
4.26307	1	6	0	3.94164
4.26407	1	1	0	8.39019
4.26407	1	2	0	12.1452
4.26407	1	3	0	12.7088
4.26407	1	4	0	-2.30142
4.26407	1	5	0	3.08193
4.26407	1	6	0	3.94164
4.26507	1	1	0	8.39019
4.26507	1	2	0	12.1452
4.26507	1	3	0	12.7088
4.26507	1	4	0	-2.30142
4.26507	1	5	0	3.08193
4.26507	1	6	0	3.94164
4.26607	1	1	0	8.39019
4.26607	1	2	0	12.1452
4.26607	1	3	0	12.7088
4.26607	1	4	0	-2.30142
4.26607	1	5	0	3.08193
4.26607	1	6	0	3.94164
4.26707	1	1	0	8.39019
4.26707	1	2	0	12.1452
4.26707	1	3	0	12.7088
4.26707	1	4	0	-2.30142
4.26707	1	5	0	3.08193
4.26707	1	6	0	3.94164
4.26807	1	1	0	8.39019
4.26807	1	2	0	12.1452
4.26807	1	3	0	12.7088
4.26807	1	4	0	-2.30142
4.26807	1	5	0	3.08193
4.26807	1	6	0	3.94164
4.26907	1	1	0	8.39019
4.26907	1	2	0	12.1452
4.26907	1	3	0	12.7088
4.26907	1	4	0	-2.30142
4.26907	1	5	0	3.08193
4.26907	1	6	0	3.94164
4.27007	1	1	0	8.39019
4.27007	1	2	0	12.1452
4.27007	1	3	0	12.7088
4.27007	1	4	0	-2.30142
4.27007	1	5	0	3.08193
4.27007	1	6	0	3.94164
4.27107	1	1	0	8.39019
4.27107	1	2	0	12.1452
4.27107	1	3	0	12.7088
4.27107	1	4	0	-2.30142
4.27107	1	5	0	3.08193
4.27107	1	6	0	3.94164
4.27207	1	1	0	8.39019
4.27207	1	2	0	12.1452
4.27207	1	3	0	12.7088
4.27207	1	4	0	-2.30142
4.27207	1	5	0	3.08193
4.27207	1	6	0	3.94164
4.27307	1	1	0	8.39019
4.27307	1	2	0	12.1452
4.27307	1	3	0	12.7088
4.27307	1	4	0	-2.30142
4.27307	1	5	0	3.08193
4.27307	1	6	0	3.94164
4.27407	1	1	0	8.39019
4.27407	1	2	0	12.1452
4.27407	1	3	0	12.7088
4.27407	1	4	0	-2.30142
4.27407	1	5	0	3.08193
4.27407	1	6	0	3.94164
4.27507	1	1	0	8.39019
4.27507	1	2	0	12.1452
4.27507	1	3	0	12.7088
4.27507	1	4	0	-2.30142
4.27507	1	5	0	3.08193
4.27507	1	6	0	3.94164
4.27607	1	1	0	8.39019
4.27607	1	2	0	12.1452
4.27607	1	3	0	12.7088
4.27607	1	4	0	-2.30142
4.27607	1	5	0	3.08193
4.27607	1	6	0	3.94164
4.27707	1	1	0	8.39019
4.27707	1	2	0	12.1452
4.27707	1	3	0	12.7088
4.27707	1	4	0	-2.30142
4.27707	1	5	0	3.08193
4.27707	1	6	0	3.94164
4.27807	1	1	0	8.39019
