time(s)	cellId	rnti	lcid	packetSize
0.837	1	3	3	132
0.838	1	4	3	132
0.838	1	3	3	132
0.838	1	2	3	1432
0.838	1	1	3	1432
0.839	1	4	3	132
0.839	1	3	3	132
0.84	1	4	3	132
0.84	1	3	3	132
0.84	1	2	3	1432
0.84	1	1	3	1432
0.841	1	4	3	132
0.841	1	3	3	132
0.842	1	4	3	132
0.842	1	3	3	132
0.842	1	2	3	1432
0.842	1	1	3	1432
0.843	1	4	3	132
0.843	1	3	3	132
0.844	1	4	3	132
0.844	1	3	3	132
0.844	1	2	3	1432
0.844	1	1	3	1432
0.845	1	4	3	132
0.845	1	3	3	132
0.846	1	4	3	132
0.846	1	3	3	132
0.846	1	2	3	1432
0.846	1	1	3	1432
0.847	1	4	3	132
0.847	1	3	3	132
0.848	1	4	3	132
0.848	1	3	3	132
0.848	1	2	3	1432
0.848	1	1	3	1432
0.849	1	4	3	132
0.849	1	3	3	132
0.85	1	4	3	132
0.85	1	3	3	132
0.85	1	2	3	1432
0.85	1	1	3	1432
0.851	1	4	3	132
0.851	1	3	3	132
0.852	1	6	3	82
0.852	1	5	3	82
0.852	1	4	3	132
0.852	1	3	3	132
0.852	1	2	3	1432
0.852	1	1	3	1432
0.853	1	4	3	132
0.853	1	3	3	132
0.854	1	4	3	132
0.854	1	3	3	132
0.854	1	2	3	1432
0.854	1	1	3	1432
0.855	1	4	3	132
0.855	1	3	3	132
0.856	1	4	3	132
0.856	1	3	3	132
0.856	1	2	3	1432
0.856	1	1	3	1432
0.857	1	4	3	132
0.857	1	3	3	132
0.858	1	4	3	132
0.858	1	3	3	132
0.858	1	2	3	1432
0.858	1	1	3	1432
0.859	1	4	3	132
0.859	1	3	3	132
0.86	1	4	3	132
0.86	1	3	3	132
0.86	1	2	3	1432
0.86	1	1	3	1432
0.861	1	4	3	132
0.861	1	3	3	132
0.862	1	4	3	132
0.862	1	3	3	132
0.862	1	2	3	1432
0.862	1	1	3	1432
0.863	1	4	3	132
0.863	1	3	3	132
0.864	1	4	3	132
0.864	1	3	3	132
0.864	1	2	3	1432
0.864	1	1	3	1432
0.865	1	4	3	132
0.865	1	3	3	132
0.866	1	4	3	132
0.866	1	3	3	132
0.866	1	2	3	1432
0.866	1	1	3	1432
0.867	1	4	3	132
0.867	1	3	3	132
0.868	1	4	3	132
